rank	name	taxid
class	Ainoaviricetes	3044425
class	Caudoviricetes	2731619
class	Faserviricetes	2732411
class	Huolimaviricetes	2732449
class	Laserviricetes	2732010
class	Leviviricetes	2842243
class	Malgrandaviricetes	2732413
class	Tokiviricetes	2841637
class	Vidaverviricetes	2732460
order	Atroposvirales	3044426
order	Belfryvirales	2732557
order	Coyopavirales	3044427
order	Crassvirales	1978007
order	Halopanivirales	2732011
order	Haloruvirales	2732451
order	Juravirales	3044428
order	Kalamavirales	2732558
order	Kirjokansivirales	2942676
order	Lautamovirales	3044429
order	Ligamenvirales	1511857
order	Magrovirales	3044430
order	Maximonvirales	3044431
order	Methanobavirales	2942677
order	Mindivirales	2732542
order	Nakonvirales	3044432
order	Norzivirales	2842247
order	Petitvirales	2732414
order	Primavirales	2841641
order	Thumleimavirales	2942680
order	Timlovirales	2842249
order	Tubulavirales	2732094
order	Vinavirales	2732560
family	Ackermannviridae	2169529
family	Aggregaviridae	2946155
family	Ahmunviridae	3044453
family	Ahpuchviridae	3044454
family	Aliceevansviridae	3044455
family	Ampullaviridae	573053
family	Anaerodiviridae	2946184
family	Aoguangviridae	3044458
family	Assiduviridae	2946156
family	Atkinsviridae	2842314
family	Autographiviridae	2731643
family	Autolykiviridae	2184034
family	Bartogtaviriformidae	3044460
family	Bicaudaviridae	423358
family	Blumeviridae	2842315
family	Brachygtaviriformidae	3044461
family	Casjensviridae	2943001
family	Chaacviridae	3044462
family	Chaseviridae	2731689
family	Clavaviridae	1232737
family	Corticoviridae	10659
family	Crevaviridae	2942963
family	Cystoviridae	10877
family	Demerecviridae	2731690
family	Drexlerviridae	2731691
family	Druskaviridae	2976943
family	Duinviridae	2842318
family	Duneviridae	2946157
family	Fiersviridae	2842319
family	Finnlakeviridae	2732901
family	Forsetiviridae	2946158
family	Fredfastierviridae	3044465
family	Fuselloviridae	10474
family	Globuloviridae	292638
family	Graaviviridae	2976944
family	Grimontviridae	3044466
family	Guelinviridae	2842320
family	Guttaviridae	324686
family	Hafunaviridae	2946190
family	Haloferuviridae	2946180
family	Halomagnusviridae	2946191
family	Halspiviridae	2732902
family	Helgolandviridae	2946159
family	Herelleviridae	2560065
family	Inoviridae	10860
family	Intestiviridae	2942964
family	Itzamnaviridae	3044467
family	Kyanoviridae	2946160
family	Leisingerviridae	2946185
family	Lipothrixviridae	10477
family	Madisaviridae	2946161
family	Matshushitaviridae	2842322
family	Mesyanzhinovviridae	2946162
family	Microviridae	10841
family	Molycolviridae	2946163
family	Naomviridae	2946164
family	Orlajensenviridae	2946165
family	Ovaliviridae	2560062
family	Pachyviridae	2946166
family	Paulinoviridae	2842326
family	Peduoviridae	2946167
family	Pervagoviridae	2946168
family	Plasmaviridae	10472
family	Plectroviridae	2732098
family	Pleolipoviridae	1911603
family	Pootjesviridae	3044473
family	Portogloboviridae	2169572
family	Pungoviridae	3044474
family	Pyrstoviridae	2946181
family	Rhodogtaviriformidae	3044475
family	Rountreeviridae	2842327
family	Rudiviridae	157897
family	Salasmaviridae	2842328
family	Saparoviridae	2946169
family	Schitoviridae	2842329
family	Shortaselviridae	2946182
family	Simuloviridae	2842330
family	Skuldviridae	3044477
family	Soleiviridae	2946193
family	Solspiviridae	2842331
family	Sphaerolipoviridae	1714267
family	Spiraviridae	1511855
family	Stanwilliamsviridae	3044479
family	Steigviridae	2942965
family	Steitzviridae	2842332
family	Straboviridae	2946170
family	Suolaviridae	2946171
family	Suoliviridae	2942966
family	Tectiviridae	10656
family	Thaspiviridae	2732903
family	Tristromaviridae	2022738
family	Turriviridae	1511858
family	Ungulaviridae	2946183
family	Verdandiviridae	3044481
family	Vertoviridae	2946172
family	Vilmaviridae	2946173
family	Winoviridae	2946174
family	Yangangviridae	3044482
family	Yanlukaviridae	3044483
family	Zierdtviridae	2946175
family	Zobellviridae	2842333
no rank	NA	12333
no rank	NA	79205
no rank	NA	451344
no rank	NA	2136008
no rank	NA	2136181
no rank	NA	2591644
no rank	NA	239364
